Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
11,Mon,November 21,8:15PM ET,boxscore,L,,4-7,,San Francisco 49ers,10,38,19,314,247,67,2,21,387,228,159,,-9.44,-20.26,1.43
12,Sun,November 27,4:05PM ET,boxscore,L,,4-8,,Los Angeles Chargers,24,25,20,366,185,181,2,22,311,246,65,,7.69,-6.53,-1.25
14,Mon,December 12,8:15PM ET,boxscore,L,,4-9,,New England Patriots,13,27,19,323,210,113,2,18,328,225,103,1,-17.43,0.47,0.90
15,Sun,December 18,4:05PM ET,boxscore,L,,4-10,@,Denver Broncos,15,24,13,240,167,73,3,23,324,156,168,2,-19.01,0.79,6.60
16,Sun,December 25,8:20PM ET,boxscore,L,OT,4-11,,Tampa Bay Buccaneers,16,19,16,325,204,121,3,21,396,281,115,2,-13.64,4.60,6.77
17,Sun,January 1,1:00PM ET,boxscore,L,,4-12,@,Atlanta Falcons,19,20,22,339,213,126,,20,298,166,132,1,6.10,-3.27,-5.10
18,Sun,January 8,4:25PM ET,boxscore,L,,4-13,@,San Francisco 49ers,13,38,11,255,194,61,4,21,311,142,169,,-15.23,-9.62,-0.80
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 10,1:00PM ET,boxscore,L,,0-1,@,Washington Commanders,16,20,13,210,114,96,2,21,248,156,92,3,-19.87,9.25,4.96
2,Sun,September 17,4:05PM ET,boxscore,L,,0-2,,New York Giants,28,31,24,379,228,151,,26,439,312,127,1,15.48,-16.76,-2.39
3,Sun,September 24,4:25PM ET,boxscore,W,,1-2,,Dallas Cowboys,28,16,20,400,178,222,,26,416,231,185,1,18.46,-6.78,1.14
4,Sun,October 1,4:25PM ET,boxscore,L,,1-3,@,San Francisco 49ers,16,35,23,362,257,105,,30,395,271,124,,9.72,-30.46,1.63
5,Sun,October 8,4:05PM ET,boxscore,L,,1-4,,Cincinnati Bengals,20,34,15,294,152,142,3,27,380,287,93,1,-9.49,-4.11,-0.68
6,Sun,October 15,4:25PM ET,boxscore,L,,1-5,@,Los Angeles Rams,9,26,20,345,215,130,2,17,382,203,179,1,-12.85,-10.25,7.36
7,Sun,October 22,4:05PM ET,boxscore,L,,1-6,@,Seattle Seahawks,10,20,15,249,122,127,,18,318,203,115,3,-10.34,-2.20,3.57
