Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
9,Mon,November 8,8:15PM ET,boxscore,L,,3-6,@,Pittsburgh Steelers,27,29,20,414,278,136,2,20,280,175,105,1,4.26,-8.46,4.79
11,Sun,November 21,1:00PM ET,boxscore,L,,3-7,,Baltimore Ravens,13,16,14,353,261,92,1,23,299,176,123,1,0.66,-0.29,-3.41
12,Thu,November 25,12:30PM ET,boxscore,W,,4-7,@,Detroit Lions,16,14,21,378,310,68,1,14,239,163,76,1,4.40,2.01,-4.41
13,Sun,December 5,1:00PM ET,boxscore,L,,4-8,,Arizona Cardinals,22,33,26,329,217,112,4,14,257,120,137,,-6.69,-6.68,3.93
14,Sun,December 12,8:20PM ET,boxscore,L,,4-9,@,Green Bay Packers,30,45,16,347,210,137,3,27,439,320,119,,-5.60,-23.05,15.19
15,Mon,December 20,8:15PM ET,boxscore,L,,4-10,,Minnesota Vikings,9,17,24,370,255,115,3,13,193,61,132,1,-7.72,4.65,-5.92
16,Sun,December 26,4:05PM ET,boxscore,W,,5-10,@,Seattle Seahawks,25,24,26,317,229,88,,18,331,161,170,,7.60,-8.31,3.95
17,Sun,January 2,1:00PM ET,boxscore,W,,6-10,,New York Giants,29,3,17,249,162,87,2,13,155,-6,161,4,-4.47,28.88,1.13
18,Sun,January 9,1:00PM ET,boxscore,L,,6-11,@,Minnesota Vikings,17,31,24,356,266,90,2,11,331,227,104,,-12.22,-7.18,1.20
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 11,1:00PM ET,boxscore,W,,1-0,,San Francisco 49ers,19,10,15,204,105,99,1,17,331,155,176,2,0.67,11.26,-0.42
2,Sun,September 18,8:20PM ET,boxscore,L,,1-1,@,Green Bay Packers,10,27,11,228,48,180,1,26,414,211,203,1,-4.40,-16.87,1.71
3,Sun,September 25,1:00PM ET,boxscore,W,,2-1,,Houston Texans,23,20,17,363,82,281,2,17,329,237,92,2,2.69,1.75,-1.18
4,Sun,October 2,1:00PM ET,boxscore,L,,2-2,@,New York Giants,12,20,16,304,155,149,3,21,333,71,262,2,-6.69,-9.33,7.79
5,Sun,October 9,1:00PM ET,boxscore,L,,2-3,@,Minnesota Vikings,22,29,14,271,193,78,1,29,429,312,117,1,1.82,-21.45,9.74
6,Thu,October 13,8:15PM ET,boxscore,L,,2-4,,Washington Commanders,7,12,20,391,154,237,2,14,214,86,128,,-2.22,7.28,-6.24
7,Mon,October 24,8:15PM ET,boxscore,W,,3-4,@,New England Patriots,33,14,24,390,147,243,1,12,260,190,70,4,8.77,10.97,0.11
