Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
1,Sun,September 11,1:00PM ET,boxscore,W,,1-0,,Jacksonville Jaguars,28,22,26,390,305,85,3,24,383,260,123,1,9.54,-3.64,0.26
2,Sun,September 18,1:00PM ET,boxscore,L,,1-1,@,Detroit Lions,27,36,21,396,308,88,1,17,425,234,191,,5.79,-7.13,-10.29
3,Sun,September 25,1:00PM ET,boxscore,L,,1-2,,Philadelphia Eagles,8,24,20,240,153,87,1,21,400,328,72,,-18.29,-9.65,8.92
4,Sun,October 2,1:00PM ET,boxscore,L,,1-3,@,Dallas Cowboys,10,25,17,297,155,142,2,15,279,217,62,,-13.42,-4.19,3.30
5,Sun,October 9,1:00PM ET,boxscore,L,,1-4,,Tennessee Titans,17,21,17,385,342,43,1,15,241,136,105,,1.03,-0.25,-3.63
6,Thu,October 13,8:15PM ET,boxscore,W,,2-4,@,Chicago Bears,12,7,14,214,86,128,,20,391,154,237,2,-7.28,2.22,6.24
7,Sun,October 23,1:00PM ET,boxscore,W,,3-4,,Green Bay Packers,23,21,22,364,198,166,1,16,232,194,38,1,0.70,-1.83,0.57
8,Sun,October 30,4:25PM ET,boxscore,W,,4-4,@,Indianapolis Colts,17,16,20,362,266,96,1,15,324,189,135,2,2.38,0.42,-2.42
9,Sun,November 6,1:00PM ET,boxscore,L,,4-5,,Minnesota Vikings,17,20,18,263,126,137,1,17,301,245,56,1,-1.76,2.12,-2.55
10,Mon,November 14,8:15PM ET,boxscore,W,,5-5,@,Philadelphia Eagles,32,21,25,330,178,152,2,18,264,170,94,4,4.13,1.89,5.98
11,Sun,November 20,1:00PM ET,boxscore,W,,6-5,@,Houston Texans,23,10,20,344,191,153,,11,148,127,21,2,4.31,15.79,-2.12
12,Sun,November 27,1:00PM ET,boxscore,W,,7-5,,Atlanta Falcons,19,13,20,314,138,176,1,18,332,165,167,1,3.96,-1.62,2.06
13,Sun,December 4,1:00PM ET,boxscore,T,OT,7-5-1,@,New York Giants,20,20,25,411,246,165,1,20,316,182,134,1,2.87,2.71,-5.65
15,Sun,December 18,8:15PM ET,boxscore,L,,7-6-1,,New York Giants,12,20,20,387,228,159,2,19,288,160,128,,-3.08,-0.95,-2.25
16,Sat,December 24,4:05PM ET,boxscore,L,,7-7-1,@,San Francisco 49ers,20,37,21,349,270,79,2,14,371,218,153,1,-2.45,-9.41,-3.02
17,Sun,January 1,1:00PM ET,boxscore,L,,7-8-1,,Cleveland Browns,10,24,17,260,124,136,3,16,301,155,146,,-7.50,-7.26,0.54
18,Sun,January 8,4:25PM ET,boxscore,W,,8-8-1,,Dallas Cowboys,26,6,16,309,158,151,1,10,182,118,64,2,-5.20,28.06,-4.66
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 10,1:00PM ET,boxscore,W,,1-0,,Arizona Cardinals,20,16,21,248,156,92,3,13,210,114,96,2,-9.25,19.87,-4.96
2,Sun,September 17,4:25PM ET,boxscore,W,,2-0,@,Denver Broncos,35,33,26,388,266,122,,21,399,277,122,2,16.73,-11.60,-3.13
3,Sun,September 24,1:00PM ET,boxscore,L,,2-1,,Buffalo Bills,3,37,15,230,125,105,5,20,386,218,168,1,-23.07,-10.16,1.39
4,Sun,October 1,1:00PM ET,boxscore,L,OT,2-2,@,Philadelphia Eagles,31,34,26,365,258,107,,23,415,311,104,,17.68,-18.21,-2.47
5,Thu,October 5,8:15PM ET,boxscore,L,,2-3,,Chicago Bears,20,40,23,388,359,29,2,18,451,273,178,,4.63,-19.81,-0.51
6,Sun,October 15,1:00PM ET,boxscore,W,,3-3,@,Atlanta Falcons,24,16,13,193,121,72,,25,402,296,106,3,-0.45,5.68,3.28
7,Sun,October 22,1:00PM ET,boxscore,L,,3-4,@,New York Giants,7,14,14,273,197,76,1,16,356,250,106,2,-16.05,3.64,8.94
8,Sun,October 29,1:00PM ET,boxscore,L,,3-5,,Philadelphia Eagles,31,38,26,472,388,84,1,21,374,315,59,2,10.32,-15.23,-4.32
9,Sun,November 5,1:00PM ET,boxscore,W,,4-5,@,New England Patriots,20,17,23,432,308,124,2,18,327,220,107,1,3.37,-0.28,1.30
10,Sun,November 12,4:25PM ET,boxscore,L,,4-6,@,Seattle Seahawks,26,29,16,356,288,68,1,27,489,369,120,,7.66,-15.28,2.61
11,Sun,November 19,1:00PM ET,boxscore,L,,4-7,,New York Giants,19,31,28,404,230,174,6,13,292,201,91,,-2.78,-0.33,-6.95
12,Thu,November 23,4:30PM ET,boxscore,L,,4-8,@,Dallas Cowboys,10,45,23,376,268,108,1,21,431,331,100,,-9.65,-25.86,2.36
13,Sun,December 3,1:00PM ET,boxscore,L,,4-9,,Miami Dolphins,15,45,11,245,107,138,1,20,406,283,123,,-6.88,-25.98,0.52
15,Sun,December 17,4:05PM ET,boxscore,L,,4-10,@,Los Angeles Rams,20,28,14,297,218,79,1,23,445,249,196,2,-2.14,-8.81,3.33
16,Sun,December 24,1:00PM ET,boxscore,L,,4-11,@,New York Jets,28,30,18,245,143,102,3,26,381,217,164,2,-3.65,15.58,-8.61
17,Sun,December 31,1:00PM ET,boxscore,L,,4-12,,San Francisco 49ers,10,27,12,225,163,62,2,28,408,224,184,,-6.62,-16.30,3.50
18,Sun,January 7,4:25PM ET,boxscore,L,,4-13,,Dallas Cowboys,10,38,12,180,130,50,3,31,440,309,131,1,-9.84,-25.23,7.97
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 8,4:25PM ET,boxscore,L,,0-1,@,Tampa Bay Buccaneers,20,37,22,299,161,138,,22,392,280,112,,9.77,-22.08,-6.66
2,Sun,September 15,1:00PM ET,boxscore,W,,1-1,,New York Giants,21,18,22,425,210,215,,18,304,175,129,1,11.88,-6.93,0.31
3,Mon,September 23,8:15PM ET,boxscore,W,,2-1,@,Cincinnati Bengals,38,33,22,356,248,108,,30,436,312,124,,27.28,-27.31,8.79
4,Sun,September 29,4:05PM ET,boxscore,W,,3-1,@,Arizona Cardinals,42,14,29,449,233,216,1,17,296,115,181,1,31.77,-2.67,-5.34
5,Sun,October 6,1:00PM ET,boxscore,W,,4-1,,Cleveland Browns,34,13,19,434,219,215,2,12,212,108,104,1,12.01,16.08,-10.61
6,Sun,October 13,1:00PM ET,boxscore,L,,4-2,@,Baltimore Ravens,23,30,18,305,253,52,,28,484,308,176,1,9.50,-20.33,3.41
7,Sun,October 20,4:05PM ET,boxscore,W,,5-2,,Carolina Panthers,40,7,26,421,207,214,,10,180,85,95,2,20.00,17.78,-5.00
8,Sun,October 27,4:25PM ET,boxscore,W,,6-2,,Chicago Bears,18,15,23,481,313,168,,15,307,105,202,1,6.47,3.45,-4.51
9,Sun,November 3,1:00PM ET,boxscore,W,,7-2,@,New York Giants,27,22,21,358,209,149,,25,326,162,164,1,18.49,-10.44,0.72
10,Sun,November 10,1:00PM ET,boxscore,L,,7-3,,Pittsburgh Steelers,27,28,19,242,182,60,1,21,312,172,140,2,0.18,-4.39,1.86
11,Thu,November 14,8:15PM ET,boxscore,L,,7-4,@,Philadelphia Eagles,18,26,18,264,171,93,1,23,434,206,228,,-2.93,-17.00,9.28
12,Sun,November 24,1:00PM ET,boxscore,L,,7-5,,Dallas Cowboys,26,34,19,412,267,145,3,19,332,241,91,1,4.31,-1.77,-5.36
