Week,Day,Date,time,boxscore,Win/Loss,OT,Rec,away,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
7,Sun,October 22,1:00PM ET,boxscore,L,,4-3,@,New England Patriots,25,29,24,339,258,81,2,21,364,268,96,1,11.63,-10.65,-5.61
8,Thu,October 26,8:15PM ET,boxscore,W,,5-3,,Tampa Bay Buccaneers,24,18,25,427,312,115,1,17,302,224,78,,9.78,-3.38,-1.24
9,Sun,November 5,8:20PM ET,boxscore,L,,5-4,@,Cincinnati Bengals,18,24,21,317,249,68,2,23,397,343,54,,6.05,-14.35,0.96
10,Mon,November 13,8:15PM ET,boxscore,L,,5-5,,Denver Broncos,22,24,18,369,177,192,4,19,300,178,122,1,-0.44,4.09,-4.65
11,Sun,November 19,4:25PM ET,boxscore,W,,6-5,,New York Jets,32,6,22,393,263,130,1,14,155,92,63,4,14.64,15.34,1.82
12,Sun,November 26,4:25PM ET,boxscore,L,OT,6-6,@,Philadelphia Eagles,34,37,29,505,332,173,1,24,378,193,185,2,13.85,-7.60,-9.18
14,Sun,December 10,4:25PM ET,boxscore,W,,7-6,@,Kansas City Chiefs,20,17,21,327,209,118,1,21,346,264,82,2,1.78,2.22,0.36
15,Sun,December 17,4:25PM ET,boxscore,W,,8-6,,Dallas Cowboys,31,10,28,351,85,266,,14,195,106,89,1,19.98,3.23,-3.82
16,Sat,December 23,8:00PM ET,boxscore,W,,9-6,@,Los Angeles Chargers,24,22,16,335,230,105,3,18,273,175,98,,7.67,4.02,-9.12
17,Sun,December 31,1:00PM ET,boxscore,W,,10-6,,New England Patriots,27,21,19,281,154,127,1,16,294,191,103,4,0.15,11.94,-1.73
18,Sun,January 7,8:20PM ET,boxscore,W,,11-6,@,Miami Dolphins,21,14,26,473,345,128,3,16,275,167,108,2,12.65,-3.92,3.03
,,,,,,,,,,,,,,,,,,,,,,,,
