Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
2,Sun,September 15,8:20PM ET,boxscore,W,,2-0,,Chicago Bears,19,13,15,310,235,75,1,15,205,134,71,2,-7.01,13.71,0.27
3,Sun,September 22,1:00PM ET,boxscore,L,,2-1,@,Minnesota Vikings,7,34,17,296,258,38,2,19,274,156,118,,-12.45,-12.18,-3.86
4,Sun,September 29,1:00PM ET,boxscore,W,,3-1,,Jacksonville Jaguars,24,20,26,435,334,101,1,17,313,155,158,,14.04,1.45,-9.28
5,Sun,October 6,1:00PM ET,boxscore,W,,4-1,,Buffalo Bills,23,20,18,425,331,94,2,16,276,126,150,,-0.68,1.59,2.09
6,Sun,October 13,1:00PM ET,boxscore,W,,5-1,@,New England Patriots,41,21,20,368,176,192,1,17,291,209,82,4,11.04,10.73,-3.82
7,Sun,October 20,1:00PM ET,boxscore,L,,5-2,@,Green Bay Packers,22,24,15,197,55,142,,18,277,195,82,3,-6.39,-3.05,5.98
8,Sun,October 27,1:00PM ET,boxscore,W,,6-2,,Indianapolis Colts,23,20,21,363,267,96,1,17,303,140,163,2,1.04,4.41,-2.91
9,Thu,October 31,8:15PM ET,boxscore,L,,6-3,@,New York Jets,13,21,21,322,135,187,1,17,293,193,100,1,-2.89,-7.00,-0.61
10,Sun,November 10,8:20PM ET,boxscore,L,,6-4,,Detroit Lions,23,26,16,248,192,56,2,19,345,240,105,5,-8.28,4.41,1.87
11,Mon,November 18,8:15PM ET,boxscore,W,,7-4,@,Dallas Cowboys,34,10,21,391,250,141,1,24,388,324,64,2,11.80,11.82,-4.13
12,Sun,November 24,1:00PM ET,boxscore,L,,7-5,,Tennessee Titans,27,32,12,260,220,40,2,19,369,237,132,3,-8.16,5.50,-4.49
