Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
6,Sun,October 17,1:00PM ET,boxscore,L,,4-2,@,Baltimore Ravens,6,34,14,208,182,26,1,27,327,140,187,2,-13.93,-7.50,-4.48
8,Sun,October 31,4:05PM ET,boxscore,L,,4-3,,New England Patriots,24,27,17,369,206,163,2,21,352,210,142,1,1.35,1.47,-9.98
9,Sun,November 7,4:05PM ET,boxscore,W,,5-3,@,Philadelphia Eagles,27,24,28,445,356,89,,20,331,155,176,,20.72,-17.56,-1.49
10,Sun,November 14,4:05PM ET,boxscore,L,,5-4,,Minnesota Vikings,20,27,20,253,171,82,1,24,381,278,103,1,3.95,-8.75,-2.56
11,Sun,November 21,8:20PM ET,boxscore,W,,6-4,,Pittsburgh Steelers,41,37,33,533,374,159,1,22,300,245,55,,20.68,-7.04,-7.92
12,Sun,November 28,4:05PM ET,boxscore,L,,6-5,@,Denver Broncos,13,28,20,357,285,72,2,23,302,155,147,1,-6.58,-12.16,-1.43
13,Sun,December 5,1:00PM ET,boxscore,W,,7-5,@,Cincinnati Bengals,41,22,18,363,284,79,3,21,356,260,96,4,1.98,12.31,1.02
14,Sun,December 12,4:05PM ET,boxscore,W,,8-5,,New York Giants,37,21,26,423,271,152,,20,316,181,135,2,18.32,0.24,-3.58
15,Thu,December 16,8:20PM ET,boxscore,L,OT,8-6,,Kansas City Chiefs,28,34,28,428,236,192,2,26,496,410,86,2,6.23,-13.18,1.57
16,Sun,December 26,1:00PM ET,boxscore,L,,8-7,@,Houston Texans,29,41,25,417,328,89,3,26,437,248,189,,5.49,-24.35,2.75
17,Sun,January 2,4:05PM ET,boxscore,W,,9-7,,Denver Broncos,34,13,21,341,237,104,,18,319,236,83,1,15.09,7.80,1.00
18,Sun,January 9,8:25PM ET,boxscore,L,OT,9-8,@,Las Vegas Raiders,32,35,27,440,355,85,2,24,346,172,174,,16.16,-11.13,-8.69
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 11,4:25PM ET,boxscore,W,,1-0,,Las Vegas Raiders,24,19,18,355,279,76,,18,320,256,64,3,6.30,2.73,-1.95
2,Thu,September 15,8:15PM ET,boxscore,L,,1-1,@,Kansas City Chiefs,24,27,21,401,326,75,1,15,319,226,93,,4.12,-5.54,-3.72
3,Sun,September 25,4:05PM ET,boxscore,L,,1-2,,Jacksonville Jaguars,10,38,16,312,286,26,2,25,413,262,151,,-10.35,-18.06,2.60
4,Sun,October 2,1:00PM ET,boxscore,W,,2-2,@,Houston Texans,34,24,22,419,338,81,1,16,346,215,131,2,15.96,-2.14,-4.62
5,Sun,October 9,1:00PM ET,boxscore,W,,3-2,@,Cleveland Browns,30,28,26,465,227,238,,27,443,230,213,1,16.01,-16.53,4.92
6,Mon,October 17,8:15PM ET,boxscore,W,OT,4-2,,Denver Broncos,19,16,24,297,224,73,1,13,258,160,98,1,-1.03,3.11,0.92
7,Sun,October 23,4:25PM ET,boxscore,L,,4-3,,Seattle Seahawks,23,37,21,329,276,53,2,24,404,191,213,2,-4.60,-12.13,1.10
9,Sun,November 6,1:00PM ET,boxscore,W,,5-3,@,Atlanta Falcons,20,17,19,336,245,91,2,19,315,114,201,2,5.12,-1.74,-0.66
10,Sun,November 13,8:20PM ET,boxscore,L,,5-4,@,San Francisco 49ers,16,22,12,238,187,51,1,22,387,230,157,1,-7.29,-6.20,5.38
11,Sun,November 20,8:20PM ET,boxscore,L,,5-5,,Kansas City Chiefs,27,30,22,365,250,115,2,23,485,322,163,1,8.61,-19.64,2.61
12,Sun,November 27,4:05PM ET,boxscore,W,,6-5,@,Arizona Cardinals,25,24,22,311,246,65,,20,366,185,181,2,6.53,-7.69,1.25
13,Sun,December 4,4:25PM ET,boxscore,L,,6-6,@,Las Vegas Raiders,20,27,22,386,314,72,1,21,404,250,154,2,0.15,-5.34,1.56
14,Sun,December 11,8:20PM ET,boxscore,W,,7-6,,Miami Dolphins,23,17,24,432,350,82,,14,219,127,92,,9.39,-1.14,-1.98
15,Sun,December 18,4:25PM ET,boxscore,W,,8-6,,Tennessee Titans,17,14,23,365,291,74,2,17,284,157,127,1,1.70,2.21,-1.72
16,Mon,December 26,8:15PM ET,boxscore,W,,9-6,@,Indianapolis Colts,20,3,17,314,213,101,2,10,173,104,69,3,-2.36,22.57,-3.60
17,Sun,January 1,4:25PM ET,boxscore,W,,10-6,,Los Angeles Rams,31,10,22,431,239,192,,12,277,111,166,1,21.57,0.47,-0.25
18,Sun,January 8,4:25PM ET,boxscore,L,,10-7,@,Denver Broncos,28,31,21,352,293,59,2,22,471,266,205,2,2.63,-16.37,8.58
,,,,,,,,,,,,,,,,,,,,,,,,
