Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
14,Sun,December 11,1:00PM ET,boxscore,L,,7-5-1,,Philadelphia Eagles,22,48,18,304,181,123,1,27,437,184,253,,-1.45,-28.90,1.98
15,Sun,December 18,8:15PM ET,boxscore,W,,8-5-1,@,Washington Commanders,20,12,19,288,160,128,,20,387,228,159,2,0.95,3.08,2.25
16,Sat,December 24,1:00PM ET,boxscore,L,,8-6-1,@,Minnesota Vikings,24,27,23,445,319,126,2,23,353,270,83,,6.20,-7.38,-3.12
17,Sun,January 1,1:00PM ET,boxscore,W,,9-6-1,,Indianapolis Colts,38,10,26,394,177,217,1,14,252,124,128,1,17.59,5.92,2.69
18,Sun,January 8,4:25PM ET,boxscore,L,,9-7-1,@,Philadelphia Eagles,16,22,18,284,155,129,,23,342,207,135,1,-1.86,-0.69,-4.64
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 10,8:20PM ET,boxscore,L,,0-1,,Dallas Cowboys,0,40,14,171,63,108,3,18,265,143,122,,-27.25,-9.37,-5.36
2,Sun,September 17,4:05PM ET,boxscore,W,,1-1,@,Arizona Cardinals,31,28,26,439,312,127,1,24,379,228,151,,16.76,-15.48,2.39
3,Thu,September 21,8:15PM ET,boxscore,L,,1-2,@,San Francisco 49ers,12,30,10,150,121,29,1,26,441,300,141,,-11.82,-19.00,9.72
4,Mon,October 2,8:15PM ET,boxscore,L,,1-3,,Seattle Seahawks,3,24,17,248,136,112,3,13,281,160,121,,-29.37,7.86,-0.33
5,Sun,October 8,1:00PM ET,boxscore,L,,1-4,@,Miami Dolphins,16,31,15,268,183,85,,22,524,302,222,3,-6.46,-10.45,1.72
6,Sun,October 15,8:20PM ET,boxscore,L,,1-5,@,Buffalo Bills,9,14,20,317,185,132,,22,297,169,128,2,3.02,-2.90,6.70
7,Sun,October 22,1:00PM ET,boxscore,W,,2-5,,Washington Commanders,14,7,16,356,250,106,2,14,273,197,76,1,-3.64,16.05,-8.94
8,Sun,October 29,1:00PM ET,boxscore,L,OT,2-6,,New York Jets,10,13,12,194,-9,203,,12,251,193,58,2,-20.38,20.78,-1.41
9,Sun,November 5,4:25PM ET,boxscore,L,,2-7,@,Las Vegas Raiders,6,30,15,277,154,123,2,15,334,209,125,,-18.96,-1.99,-1.85
