Week,Day,Date,,,,OT,Rec,,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
8,Thu,October 26,8:15PM ET,boxscore,L,,3-4,@,Buffalo Bills,18,24,17,302,224,78,,25,427,312,115,1,3.38,-9.78,1.24
9,Sun,November 5,1:00PM ET,boxscore,L,,3-5,@,Houston Texans,37,39,21,332,251,81,1,26,496,443,53,1,13.23,-16.65,5.81
10,Sun,November 12,1:00PM ET,boxscore,W,,4-5,,Tennessee Titans,20,6,19,340,263,77,1,14,209,167,42,1,7.05,14.75,-4.53
11,Sun,November 19,4:05PM ET,boxscore,L,,4-6,@,San Francisco 49ers,14,27,22,287,221,66,2,22,420,305,115,,-2.05,-14.22,2.57
12,Sun,November 26,1:00PM ET,boxscore,L,,4-7,@,Indianapolis Colts,20,27,17,298,173,125,2,26,394,239,155,1,-0.30,-10.81,-1.18
13,Sun,December 3,4:05PM ET,boxscore,W,,5-7,,Carolina Panthers,21,18,15,322,194,128,1,15,282,149,133,1,1.83,4.36,-1.51
14,Sun,December 10,1:00PM ET,boxscore,W,,6-7,@,Atlanta Falcons,29,25,16,290,142,148,,23,434,338,96,1,0.22,-7.82,9.28
15,Sun,December 17,1:00PM ET,boxscore,W,,7-7,@,Green Bay Packers,34,20,22,452,353,99,1,18,321,261,60,1,21.36,-5.02,0.81
16,Sun,December 24,4:05PM ET,boxscore,W,,8-7,,Jacksonville Jaguars,30,12,22,335,265,70,,23,305,268,37,4,8.09,9.43,4.78
17,Sun,December 31,1:00PM ET,boxscore,L,,8-8,,New Orleans Saints,13,23,13,349,292,57,4,20,310,202,108,,-3.93,-0.67,-5.28
18,Sun,January 7,1:00PM ET,boxscore,W,,9-8,@,Carolina Panthers,9,0,14,228,115,113,,11,199,68,131,2,-7.74,13.18,6.13
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 8,4:25PM ET,boxscore,W,,1-0,,Washington Commanders,37,20,22,392,280,112,,22,299,161,138,,22.08,-9.77,6.66
2,Sun,September 15,1:00PM ET,boxscore,W,,2-0,@,Detroit Lions,20,16,14,216,146,70,1,26,463,324,139,2,0.10,-3.18,4.12
3,Sun,September 22,1:00PM ET,boxscore,L,,2-1,,Denver Broncos,7,26,17,223,132,91,2,18,352,216,136,1,-13.68,-3.34,0.75
4,Sun,September 29,1:00PM ET,boxscore,W,,3-1,,Philadelphia Eagles,33,16,29,445,334,111,,16,227,114,113,2,21.36,4.13,-1.43
5,Thu,October 3,8:15PM ET,boxscore,L,OT,3-2,@,Atlanta Falcons,30,36,21,333,173,160,1,28,550,477,73,1,9.87,-22.44,5.72
6,Sun,October 13,1:00PM ET,boxscore,W,,4-2,@,New Orleans Saints,51,27,31,594,317,277,3,19,303,222,81,3,21.29,13.11,-11.75
7,Mon,October 21,8:15PM ET,boxscore,L,,4-3,,Baltimore Ravens,31,41,28,481,356,125,2,22,508,264,244,1,13.75,-23.15,-0.41
8,Sun,October 27,1:00PM ET,boxscore,L,,4-4,,Atlanta Falcons,26,31,24,432,330,102,3,20,394,265,129,,6.89,-19.02,8.11
9,Mon,November 4,8:15PM ET,boxscore,L,OT,4-5,@,Kansas City Chiefs,24,30,17,284,189,95,,28,384,260,124,1,7.44,-13.78,0.89
10,Sun,November 10,1:00PM ET,boxscore,L,,4-6,,San Francisco 49ers,20,23,18,215,105,110,,24,413,338,75,1,0.91,-18.50,15.44
12,Sun,November 24,1:00PM ET,boxscore,W,,5-6,@,New York Giants,30,7,24,451,294,157,1,17,245,169,76,1,19.82,7.28,-7.47
